Annotation,PDE4D,PDE4DIP,PDE4A,PDE4B,PDE4C
SDCBP2,0.06576024992098835,-0.03281107911364392,0.09282178218348747,-0.21277111126038314,0.28894166098058455
SPTY2D1,0.5634738438982966,0.5585833617153356,0.26037444165836665,0.45903546688171043,0.8520965229481277
FCER1G,-0.06425802451430511,-0.14338816619037947,0.20330325319043033,-0.005250331585421779,0.11443988398874683
C1orf167,-0.40845209974001667,-0.1255348722682952,-0.37881851268418115,-0.6463431977029157,-0.27697577186641925
SLC16A7,0.4672529767887708,0.27108784945672243,0.419413347156421,0.23773944170813593,0.5073778193330928
LOC102546294,0.38285441755728217,0.16923498502607284,0.5825831176722319,0.5427035022662767,0.35205637008180335
PGGT1B,0.6006491877456154,0.5381565261041938,0.4801108157302542,0.615441005124314,0.4155554442429341
ALKBH6,-0.12599375495699058,-0.5582827877256253,-0.04444480395738966,0.11697517957821423,0.15554910301148053
SOX14,-0.00012869991114502845,-0.06492603795545521,0.14998938511796817,-0.016733481408210755,0.3086497783691117
KIAA0930,-0.21477653318761564,-0.0566133811509111,-0.2758828721731368,-0.06412699958380487,-0.8469563257630245
CERS6-AS1,0.5566652353677576,0.8846364962104933,0.435693050661047,0.4159431059856242,0.14595670593578502
BAIAP3,0.5853948443701098,-0.058532272854709064,0.19603068749390257,0.5210363323603457,0.129943341062451
LOC100506113,-0.22011970852979373,-0.24561770450506476,-0.006399864251223212,-0.23524219155562656,0.5856154131744571
EPN3,0.3601494827836944,0.25021110643216854,0.011238436648808256,0.31305447529555397,0.29784321678521936
FAM13A,0.3684150397069116,0.3584188984264317,0.17202648726577063,0.06859813046970113,0.7995804288350943
DBI,0.08345693762841999,-0.3162289830500341,0.11805383255651834,0.17865208146993852,-0.14618229962856982
GET4,-0.02114711803511553,0.1749156879928851,-0.19434253950341143,0.23962505052272,0.08514292260749998
SLC45A1,0.17420475150007736,-0.1874355727436979,0.07517811110598135,0.34782559536985785,-0.5081131721821736
ERI2,0.7706267105727035,0.7475678819784126,0.5252446272460203,0.7375151482804578,0.4116349247162771
CHST3,0.153542206760754,0.056549780800061185,0.27880099577769035,0.013451758874499729,0.3378842081418666
CLHC1,0.514385221216095,0.6443271855086423,0.30630240216160376,0.29414838227129986,0.11665874011251237
LOC100129697,-0.49776406282748265,-0.32933937586862405,-0.41400767992261617,-0.2723314560489889,-0.2299870624792841
EGFEM1P,0.05752352787084455,0.1164409933724475,-0.40413766616420543,-0.19799499841267926,0.3726833432877202
RANBP17,0.5535760310751741,0.7141099221935494,0.26267583930056354,0.6626433074691929,0.44472218086998977
LINC01607,0.0396066166821333,0.0039755039144983685,0.2632545347265177,-0.13074997082334958,0.689711088497167
SLC43A1,-0.24605510737689965,-0.10104033310720142,-0.20238908271734354,-0.09414320546060385,-0.46900059821835566
FUBP3,0.45010922017538907,0.6066142845874896,0.184123244777677,0.31414289940668255,-0.11290579127060205
LINC00662,0.3236815928159109,0.0741034443552736,0.29172965532014755,0.3608649806501341,0.6443222570234313
MIR940,0.4819445958617113,0.36159790573120976,0.39677544075795973,0.48483934428670594,-0.10987417008474339
CWC15,-0.18161850032960405,0.01676431253487862,-0.35920748258316193,-0.05772386164711331,-0.24662385686993474
ANGPT2,-0.2544235761454463,-0.2694672302873253,0.04859900977466753,-0.19641841803961974,-0.2514719549042242
NOL4,0.15654986687214756,0.3041972287589896,0.29621968253255504,-0.15259136123359407,0.45404696333670336
ZNF384,0.5840322992083689,0.39775247998568336,0.5137261067438516,0.49713355048604213,0.10726952255677165
COX4I1,-0.3626682233737274,-0.664812927487207,-0.1261594541740456,-0.15038566367820866,0.12510151266471847
ZNF233,-0.04860537868162011,0.4396305220744717,0.3942974629219516,-0.03203968179924509,0.18066218970850814
CRTC3-AS1,0.5145680555089451,0.21330044308068297,0.4800512973443553,0.4826799561390435,0.03498864673789232
RALYL,0.5641628620528177,0.3350495881141574,0.5078251444456681,0.42435888646841585,0.42185873949082964
MFSD1,0.28272186900297797,0.31310976349538855,0.18972454089990617,0.35819682980244266,-0.327363067749491
LRRC4B,-0.16656379674014046,-0.5914535153070809,0.14748991189362579,-0.09863818832377896,0.06565871955435396
CNOT10,0.28611553603474754,0.7068741721832815,0.030130171749302572,0.26703749930801424,-0.15770662431546234
TGFBRAP1,0.3694961456157574,0.7020993570981559,0.39892739082936796,0.4896332154911014,-0.24913975928361692
KCNQ3,-0.20195392779369345,0.5008001888904807,0.06597522730795757,-0.3719956918200194,-0.1162754080822267
CCAR1,0.5133214342253837,0.8875938835527655,0.34372572026263354,0.41847218592212726,0.1235582594997457
NDUFS4,0.21869624010323302,0.405675065960844,-0.2641307761570554,0.276054920607061,0.12418305070659044
RARG,0.0849433364392997,0.45193852361738296,0.28646469459596363,0.03347244625754406,0.08127064470893254
CDKN2AIP,0.39427687996258887,0.7699691871407477,0.09772176052656854,0.5131408572743003,0.1257895754658991
C1orf145,-0.047444126885525226,-0.05965921152972468,0.16108528385137788,-0.2235771324870306,0.772916410217577
TSC22D4,-0.0011423137757041366,-0.19608641887112266,0.08076416233050607,-0.16913550693392915,0.40339563755075414
FAM222A-AS1,-0.017143917730082402,0.3567078360214073,0.0331967466626252,0.06998900211224242,-0.3393800506697309
EXD3,0.2306822058194474,-0.14788823350448316,0.29759617636330726,-0.021385928423107752,0.7628562897448999
KLHL34,0.2870653335886541,0.3417726965617025,0.1099115118338484,0.2095099370757346,-0.12322959112096722
LINC00960,0.04119401851718832,0.11124252901398933,0.14768467039759,0.10925214760092697,-0.45513318413422005
ZNF461,0.7146550626971998,0.8102682257084144,0.5461633464884634,0.6827566080339865,0.45255818467848125
TSSC4,0.15674043292531004,-0.13424118681916256,0.10660881642176,0.5482789881391141,-0.19742145256486723
TAF11,0.36683442655053405,0.21103601166909308,0.26008501171656007,0.4670206433455336,0.1081366077223628
FAM49A,-0.01960792251502114,0.5263345691264032,-0.031420079928152704,-0.31786879964839515,0.16579593687091398
NHLH2,-0.3007260030182812,-0.16863970530114325,0.21947978925796693,-0.21919920565076934,0.010596040432794846
NUFIP2,0.5511945868675374,0.8648651373901489,0.2854541110963672,0.42016454406614867,0.5280217883428625
RHPN2,0.3424402327028132,0.13331079970569618,-0.014928068500294111,0.0442211953023318,0.39041032850029717
KIF19,-0.4650935216923508,-0.20931178253775062,-0.6381339094347167,-0.7221337085332914,-0.282468468342364
SNORD144,0.2624504534400681,0.6317036610061949,0.039502556488588206,0.27856470501162844,-0.057928471846866225
ZSCAN16,-0.350564194617403,8.735225670064488e-05,-0.40586555588354767,-0.21247112914097083,-0.5730053491491741
SPC24,-0.6614773730834017,-0.4010206020469227,-0.6464693824222721,-0.7988933709175094,-0.16321166702880638
RALB,-0.32580916789341036,0.1392030711863864,-0.4687053278485521,-0.48859316518518103,0.22893835941719215
SNHG11,0.12269449007124045,-0.048442428450568224,0.1671259745635715,0.5588052460020955,-0.21078232676139003
MAP3K20-AS1,-0.09608843567406099,0.3073993336724287,0.07547730187604074,-0.4142579246149125,0.08314378240725442
GLUL,-0.4957968571982464,-0.36711548807604927,-0.27080475310610347,-0.5914263382674911,-0.406943899638874
LINC01166,0.2466665934770336,0.4593889453529912,0.15355562448765972,0.26417191185943395,-0.16811910423586135
PDHB,-0.1514928075716878,0.0763129610893611,-0.14139943069456568,-0.42877918455815905,0.03278301858056912
PPP6R2,-0.06214402003554649,-0.5226682408422859,0.16908006487440014,0.08332254748976156,-0.41165013167476094
ATXN7L2,0.392871992538699,-0.14171703318435935,0.39154971728735716,0.5331858098305904,-0.07526030863161633
ZNF18,0.3397811011934523,0.30860300247693295,0.5721324651159737,0.0253540186185159,0.6873727619840814
BCORL1,-0.5003804463728239,-0.3081321235807297,-0.5012960800237497,-0.7600528818212389,-0.21487814122205778
GNAZ,0.4410834541620774,0.43903520158958426,0.5320376244415237,0.3141058258305777,-0.26582312357323684
C7orf43,-0.12504326539623242,-0.2853553882742744,0.035200328203968546,0.15603418407021455,-0.707411505744395
MKRN2,0.29349591092234323,0.8013209455719452,-0.011458982312677418,0.23720803143238275,0.12994691385327722
TRIM23,0.7872770561940969,0.7650682958367103,0.4884969071207307,0.7958274866301379,0.3978959585320086
TFIP11,0.3899454788118006,0.44109930109821327,0.2851282714769577,0.41202868749951876,0.26301085758589643
EXOSC6,0.4494119371865197,0.4649324066231085,0.2858792255280307,0.38356226413346584,-0.20478092550330865
ABHD10,0.5039740353555371,0.21777679845282955,0.42497515639945094,0.4168449887778765,0.7203577417027608
MEIOC,0.39876225742794585,0.793056828840797,0.38619037854206095,0.35261785217798397,0.42102788697462856
ITPKB,0.6766487414903937,0.1534922325050275,0.4511313934307764,0.7151936753175292,0.11814735507139006
SLC4A4,0.43009724251154396,0.07897691629729568,0.40755077529157213,0.17640514864683346,0.14310829575424136
CHST7,-0.13714988571484021,-0.12830588889261407,-0.052357638774382584,-0.38064218919442755,-0.06991665037809713
OTOL1,0.20502904447086098,0.1544421875327886,-0.14765252119462524,0.25397496086714066,-0.3122333940924343
SPINK13,0.4544085475646548,0.13477927623425306,0.36619395809177824,0.5299589031940678,0.415546442158242
ST6GALNAC4,-0.26346762854287487,-0.13845206456768833,0.1780410556174104,-0.453691669094473,0.07700704764777366
FAM155B,-0.5060658785787886,-0.06721650567434087,-0.41471180316714285,-0.5817554168381862,-0.5137362325404201
ZBTB7A,0.6963415107837725,0.5307057382089685,0.3307001608016734,0.6037659416417542,0.14296273162214315
GALNT18,0.11120932425662931,-0.09126666865486872,0.028767452520253804,0.12953533728784367,-0.039681039795947434
LOC100507053,0.31034239792775814,0.3823219155141485,0.21933223209137545,0.27012264664701047,-0.2569194777723461
DTX3,0.2183565289082241,-0.2596448203442968,0.513759844319685,0.26414311334348267,-0.12212964943789441
DDX12P,-0.03417561339045676,-0.33336796833694865,-0.03629909005332759,-0.13424270124713178,-0.0618439330148947
RHOT1,0.7156965704384127,0.8846438367591783,0.550707118026977,0.6326236074541461,0.3944208223020031
BCS1L,0.07420474769547332,-0.25693618803138135,-0.07000044154336672,0.3899471562615528,-0.2097529830683503
DUBR,0.3908318568764047,0.595218023298841,0.009302800198136852,0.3733690054413867,0.1689260613989655
NQO2,-0.37578440120545586,-0.039352563311801675,-0.3196349930852563,-0.47968690306469774,-0.7042838126014861
SSB,0.7223894070390727,0.8625659256920186,0.2879198847204027,0.6491746092990344,0.14766128742597173
